seq=160,	ch0= 541,	ch1= 687,	ch2=   0,	ch3= 213,	ch4= 298,	ch5=   0,	time=1728462666275511,	delta=856,	
seq=161,	ch0= 613,	ch1= 578,	ch2=   0,	ch3= 245,	ch4= 247,	ch5=   0,	time=1728462666276352,	delta=841,	
seq=162,	ch0= 696,	ch1= 460,	ch2=   0,	ch3= 298,	ch4= 133,	ch5=   5,	time=1728462666277192,	delta=840,	
seq=163,	ch0= 756,	ch1= 349,	ch2=  52,	ch3= 322,	ch4=  90,	ch5=  23,	time=1728462666278033,	delta=841,	
seq=164,	ch0= 780,	ch1= 246,	ch2= 129,	ch3= 325,	ch4=  53,	ch5=  64,	time=1728462666278874,	delta=841,	
seq=165,	ch0= 786,	ch1= 144,	ch2= 229,	ch3= 324,	ch4=  17,	ch5= 107,	time=1728462666279716,	delta=842,	
seq=166,	ch0= 759,	ch1=  69,	ch2= 341,	ch3= 314,	ch4=   0,	ch5= 156,	time=1728462666280557,	delta=841,	
seq=167,	ch0= 757,	ch1=   0,	ch2= 468,	ch3= 290,	ch4=   0,	ch5= 201,	time=1728462666281398,	delta=841,	
seq=168,	ch0= 687,	ch1=   0,	ch2= 564,	ch3= 253,	ch4=   0,	ch5= 247,	time=1728462666282239,	delta=841,	
seq=169,	ch0= 566,	ch1=   0,	ch2= 670,	ch3= 211,	ch4=   0,	ch5= 285,	time=1728462666283079,	delta=840,	
seq=170,	ch0= 471,	ch1=   0,	ch2= 752,	ch3= 167,	ch4=   0,	ch5= 320,	time=1728462666283920,	delta=841,	
seq=171,	ch0= 226,	ch1=  47,	ch2= 821,	ch3= 167,	ch4=  10,	ch5= 366,	time=1728462666284761,	delta=841,	
seq=172,	ch0= 159,	ch1= 133,	ch2= 862,	ch3= 101,	ch4=  46,	ch5= 310,	time=1728462666285602,	delta=841,	
seq=173,	ch0=  85,	ch1= 226,	ch2= 849,	ch3=   8,	ch4= 101,	ch5= 363,	time=1728462666286443,	delta=841,	
seq=174,	ch0=  50,	ch1= 335,	ch2= 814,	ch3=  10,	ch4= 149,	ch5= 326,	time=1728462666287284,	delta=841,	
seq=175,	ch0=   0,	ch1= 440,	ch2= 756,	ch3=   0,	ch4= 192,	ch5= 296,	time=1728462666288125,	delta=841,	
seq=176,	ch0=   0,	ch1= 549,	ch2= 674,	ch3=   0,	ch4= 229,	ch5= 253,	time=1728462666288970,	delta=845,	
seq=177,	ch0=   0,	ch1= 637,	ch2= 564,	ch3=   0,	ch4= 253,	ch5= 205,	time=1728462666289811,	delta=841,	
seq=178,	ch0=   0,	ch1= 722,	ch2= 457,	ch3=   6,	ch4= 279,	ch5= 160,	time=1728462666290652,	delta=841,	
seq=179,	ch0=  53,	ch1= 775,	ch2= 338,	ch3=  22,	ch4= 303,	ch5= 113,	time=1728462666291493,	delta=841,	
seq=180,	ch0= 146,	ch1= 810,	ch2= 234,	ch3=  64,	ch4= 308,	ch5=  68,	time=1728462666292334,	delta=841,	
seq=181,	ch0= 207,	ch1= 805,	ch2= 119,	ch3= 106,	ch4= 277,	ch5=  32,	time=1728462666293176,	delta=842,	
seq=182,	ch0= 335,	ch1= 772,	ch2=  42,	ch3= 159,	ch4= 269,	ch5=   4,	time=1728462666294017,	delta=841,	
seq=183,	ch0= 462,	ch1= 725,	ch2=   0,	ch3= 194,	ch4= 250,	ch5=  26,	time=1728462666294858,	delta=841,	
seq=184,	ch0= 594,	ch1= 648,	ch2=   0,	ch3= 234,	ch4= 206,	ch5=   0,	time=1728462666295699,	delta=841,	
seq=185,	ch0= 697,	ch1= 549,	ch2=   0,	ch3= 271,	ch4= 149,	ch5=   0,	time=1728462666296540,	delta=841,	
seq=186,	ch0= 714,	ch1= 442,	ch2=  10,	ch3= 306,	ch4= 109,	ch5=   4,	time=1728462666297381,	delta=841,	
seq=187,	ch0= 761,	ch1= 321,	ch2=  72,	ch3= 322,	ch4=  77,	ch5=  23,	time=1728462666298222,	delta=841,	
seq=188,	ch0= 788,	ch1= 215,	ch2= 160,	ch3= 330,	ch4=  48,	ch5=  77,	time=1728462666299063,	delta=841,	
seq=189,	ch0= 770,	ch1= 117,	ch2= 261,	ch3= 327,	ch4=   7,	ch5= 117,	time=1728462666299904,	delta=841,	
